Date,BNF Straddle_gross_PnL,Brokerage,TransactionCharges,ClearingCharges,STT,GST,SEBI,StampDuty,TotalCharges,net_PNL,net_rets,Time,PNL,cum_pnl,month,Date
2021-06-30,2049.3668942259,80,9.73,5.84,4.09,17.2,0.04,1.17,118.05,1931.3168942259,0.6437722981,2021-06-30,2049.3668942259,240932.394538803,"Jun,2021",2021-06-30
2021-07-01,-344.1774000731,80,5.87,3.52,2.47,16.09,0.02,0.7,108.68,-452.8574000731,-0.1509524667,2021-07-01,-344.1774000731,240588.21713873,"Jul,2021",2021-07-01
2021-07-02,2218.1671118443,80,16.37,9.82,6.88,19.12,0.07,1.96,134.22,2083.9471118443,0.6946490373,2021-07-02,2218.1671118443,242806.384250575,"Jul,2021",2021-07-02
2021-07-05,-306.1460271795,80,12.03,7.22,5.05,17.86,0.05,1.44,123.65,-429.7960271795,-0.1432653424,2021-07-05,-306.1460271795,242500.238223395,"Jul,2021",2021-07-05
2021-07-06,1217.5270995333,80,9.48,5.69,3.98,17.13,0.04,1.14,117.45,1100.0770995333,0.3666923665,2021-07-06,1217.5270995333,243717.765322928,"Jul,2021",2021-07-06
2021-07-07,1424.5773320556,80,9.05,5.43,3.8,17.01,0.04,1.09,116.41,1308.1673320556,0.4360557774,2021-07-07,1424.5773320556,245142.342654984,"Jul,2021",2021-07-07
2021-07-08,-1220.6494566803,80,5.7,3.42,2.39,16.04,0.02,0.68,108.26,-1328.9094566803,-0.4429698189,2021-07-08,-1220.6494566803,243921.693198304,"Jul,2021",2021-07-08
2021-07-09,1289.4882386567,80,18.29,10.97,7.68,19.67,0.07,2.19,138.88,1150.6082386567,0.3835360796,2021-07-09,1289.4882386567,245211.18143696,"Jul,2021",2021-07-09
2021-07-12,1013.3254031901,80,13.37,8.02,5.62,18.25,0.05,1.6,126.92,886.40540319,0.2954684677,2021-07-12,1013.3254031901,246224.50684015,"Jul,2021",2021-07-12
2021-07-13,517.2042831657,80,10.15,6.09,4.26,17.32,0.04,1.22,119.08,398.1242831657,0.1327080944,2021-07-13,517.2042831657,246741.711123316,"Jul,2021",2021-07-13
2021-07-14,-1664.9841136292,80,8.76,5.26,3.68,16.92,0.04,1.05,115.7,-1780.6841136292,-0.5935613712,2021-07-14,-1664.9841136292,245076.727009687,"Jul,2021",2021-07-14
2021-07-15,1156.586001884,80,5.18,3.11,2.18,15.89,0.02,0.62,107,1049.586001884,0.3498620006,2021-07-15,1156.586001884,246233.313011571,"Jul,2021",2021-07-15
2021-07-16,365.0828804348,80,15.48,9.29,6.5,18.86,0.06,1.86,132.05,233.0328804348,0.0776776268,2021-07-16,365.0828804348,246598.395892006,"Jul,2021",2021-07-16
2021-07-19,-3189.0728015787,80,12.56,7.53,5.27,18.02,0.05,1.51,124.94,-3314.0128015787,-1.1046709339,2021-07-19,-3189.0728015787,243409.323090427,"Jul,2021",2021-07-19
2021-07-20,1900.1574927878,80,10.72,6.43,4.5,17.49,0.04,1.29,120.48,1779.6774927878,0.5932258309,2021-07-20,1900.1574927878,245309.480583215,"Jul,2021",2021-07-20
2021-07-22,-1619.7970588235,80,6.27,3.76,2.64,16.21,0.03,0.75,109.66,-1729.4570588235,-0.5764856863,2021-07-22,-1619.7970588235,243689.683524391,"Jul,2021",2021-07-22
2021-07-23,-5002.8587186992,80,15.7,9.42,6.6,18.92,0.06,1.88,132.59,-5135.4487186992,-1.7118162396,2021-07-23,-5002.8587186992,238686.824805692,"Jul,2021",2021-07-23
2021-07-26,422.4838118222,80,13.84,8.3,5.81,18.39,0.06,1.66,128.06,294.4238118222,0.0981412706,2021-07-26,422.4838118222,239109.308617514,"Jul,2021",2021-07-26
2021-07-27,1560.3003255086,80,12.05,7.23,5.06,17.87,0.05,1.45,123.71,1436.5903255086,0.4788634418,2021-07-27,1560.3003255086,240669.608943023,"Jul,2021",2021-07-27
2021-07-28,1122.1186333146,80,10.19,6.11,4.28,17.33,0.04,1.22,119.18,1002.9386333146,0.3343128778,2021-07-28,1122.1186333146,241791.727576338,"Jul,2021",2021-07-28
2021-07-29,1643.4490690356,80,5.91,3.54,2.48,16.1,0.02,0.71,108.76,1534.6890690356,0.511563023,2021-07-29,1643.4490690356,243435.176645373,"Jul,2021",2021-07-29
2021-07-30,302.6316296752,80,16.61,9.97,6.98,19.18,0.07,1.99,134.8,167.8316296752,0.0559438766,2021-07-30,302.6316296752,243737.808275048,"Jul,2021",2021-07-30
2021-08-02,69.8323819992,80,12.88,7.73,5.41,18.11,0.05,1.55,125.73,-55.8976180008,-0.0186325393,2021-08-02,69.8323819992,243807.640657048,"Aug,2021",2021-08-02
2021-08-03,2354.2418117067,80,10.84,6.51,4.55,17.52,0.04,1.3,120.77,2233.4718117067,0.7444906039,2021-08-03,2354.2418117067,246161.882468754,"Aug,2021",2021-08-03
2021-08-04,1733.4263290579,80,9.21,5.53,3.87,17.05,0.04,1.11,116.8,1616.6263290579,0.538875443,2021-08-04,1733.4263290579,247895.308797812,"Aug,2021",2021-08-04
2021-08-05,-1780.6926738444,80,7.45,4.47,3.13,16.55,0.03,0.89,112.52,-1893.2126738444,-0.6310708913,2021-08-05,-1780.6926738444,246114.616123968,"Aug,2021",2021-08-05
2021-08-06,2052.2764026629,80,19.52,11.71,8.2,20.02,0.08,2.34,141.86,1910.4164026629,0.6368054676,2021-08-06,2052.2764026629,248166.892526631,"Aug,2021",2021-08-06
2021-08-09,-84.0206609345,80,14.41,8.65,6.05,18.55,0.06,1.73,129.45,-213.4706609345,-0.071156887,2021-08-09,-84.0206609345,248082.871865696,"Aug,2021",2021-08-09
2021-08-10,-2969.5253403903,80,12.31,7.38,5.17,17.94,0.05,1.48,124.33,-3093.8553403903,-1.0312851135,2021-08-10,-2969.5253403903,245113.346525306,"Aug,2021",2021-08-10
2021-08-11,3175.8099036112,80,10.67,6.4,4.48,17.47,0.04,1.28,120.36,3055.4499036112,1.0184833012,2021-08-11,3175.8099036112,248289.156428917,"Aug,2021",2021-08-11
2021-08-12,1690.4144494215,80,6.28,3.77,2.64,16.21,0.03,0.75,109.67,1580.7444494215,0.5269148165,2021-08-12,1690.4144494215,249979.570878338,"Aug,2021",2021-08-12
2021-08-13,-695.7595515081,80,14.76,8.85,6.2,18.65,0.06,1.77,130.29,-826.0495515081,-0.2753498505,2021-08-13,-695.7595515081,249283.81132683,"Aug,2021",2021-08-13
2021-08-16,205.2574550477,80,12.72,7.63,5.34,18.06,0.05,1.53,125.33,79.9274550477,0.026642485,2021-08-16,205.2574550477,249489.068781878,"Aug,2021",2021-08-16
2021-08-17,1396.7757942429,80,9.57,5.74,4.02,17.16,0.04,1.15,117.68,1279.0957942429,0.4263652647,2021-08-17,1396.7757942429,250885.844576121,"Aug,2021",2021-08-17
2021-08-18,1622.0247653176,80,5.47,3.28,2.3,15.98,0.02,0.66,107.71,1514.3147653176,0.5047715884,2021-08-18,1622.0247653176,252507.869341439,"Aug,2021",2021-08-18
